variant_id,x_m,y_m,z_m,yaw_deg,method,status,success,ate_m,rpe_trans_pct,rpe_rot_deg_per_m,frames,time_ms,fps,summary_path,log_path
xp0p000_yp0p000_zp0p000_yawp0p000,0.0,0.0,0.0,0.0,NDT,ok,True,0.228466,1.133184,0.026659,108,3451.218234,31.293298,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp0p000_zp0p000_yawp0p000/run.log
xp0p000_yp0p250_zp0p000_yawp0p000,0.0,0.25,0.0,0.0,NDT,ok,True,0.362505,1.989809,0.034337,108,3462.426866,31.191995,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp0p250_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp0p250_zp0p000_yawp0p000/run.log
xp0p000_yp0p500_zp0p000_yawp0p000,0.0,0.5,0.0,0.0,NDT,ok,False,0.556599,2.367567,0.027593,108,3652.85545,29.565911,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp0p500_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp0p500_zp0p000_yawp0p000/run.log
xp0p000_yp0p750_zp0p000_yawp0p000,0.0,0.75,0.0,0.0,NDT,ok,False,0.773095,3.452278,0.021351,108,3231.256555,33.42353,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp0p750_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp0p750_zp0p000_yawp0p000/run.log
xp0p000_yp1p000_zp0p000_yawp0p000,0.0,1.0,0.0,0.0,NDT,ok,False,1.023027,4.450969,0.022366,108,3345.107515,32.285958,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp1p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_y_fine/xp0p000_yp1p000_zp0p000_yawp0p000/run.log
