variant_id,x_m,y_m,z_m,yaw_deg,method,status,success,ate_m,rpe_trans_pct,rpe_rot_deg_per_m,frames,time_ms,fps,summary_path,log_path
xp0p000_yp0p000_zp0p000_yawp0p000,0.0,0.0,0.0,0.0,NDT,ok,True,0.228466,1.133184,0.026659,108,4152.010798,26.011493,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp0p000/run.log
xp0p000_yp0p000_zp0p000_yawp5p000,0.0,0.0,0.0,5.0,NDT,ok,True,0.241921,7.412544,0.03238,108,3937.758777,27.426769,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp5p000/run.log
xp0p000_yp0p000_zp0p000_yawp10p000,0.0,0.0,0.0,10.0,NDT,ok,True,0.262348,14.255329,0.035959,108,4542.91399,23.773287,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp10p000/run.log
xp1p000_yp0p000_zp0p000_yawp0p000,1.0,0.0,0.0,0.0,NDT,ok,False,1.052378,4.44536,0.034537,108,4044.809862,26.700884,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp0p000/run.log
xp1p000_yp0p000_zp0p000_yawp5p000,1.0,0.0,0.0,5.0,NDT,ok,False,1.037666,4.548614,0.033243,108,3479.525597,31.038714,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp5p000/run.log
xp1p000_yp0p000_zp0p000_yawp10p000,1.0,0.0,0.0,10.0,NDT,ok,False,1.024644,10.930265,0.03697,108,3509.077983,30.777315,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp10p000/run.log
xp2p000_yp0p000_zp0p000_yawp0p000,2.0,0.0,0.0,0.0,NDT,ok,False,2.01594,8.561305,0.027088,108,3803.125086,28.397699,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp0p000/run.log
xp2p000_yp0p000_zp0p000_yawp5p000,2.0,0.0,0.0,5.0,NDT,ok,False,2.000326,5.065104,0.025944,108,3337.206949,32.362392,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp5p000/run.log
xp2p000_yp0p000_zp0p000_yawp10p000,2.0,0.0,0.0,10.0,NDT,ok,False,1.9972,8.569405,0.037357,108,4086.654943,26.427482,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp10p000/run.log
