method,dataset_slug,default_variant_id
litamin2,autoware_istanbul_open_108,fast_icp_only_half_threads
litamin2,autoware_istanbul_open_108_b,fast_icp_only_half_threads
litamin2,autoware_istanbul_open_108_c,paper_icp_only_half_threads
litamin2,hdl_400_open_ct_lio_120,paper_cov_half_threads
litamin2,hdl_400_open_ct_lio_120_b,fast_icp_only_half_threads
litamin2,kitti_raw_0009_200,paper_cov_half_threads
litamin2,kitti_raw_0009_full,fast_icp_only_half_threads
litamin2,kitti_raw_0061_200,fast_cov_half_threads
litamin2,kitti_raw_0061_full,fast_icp_only_half_threads
litamin2,mcd_kth_day_06_108,fast_cov_half_threads
litamin2,mcd_ntu_day_02_108,paper_icp_only_half_threads
litamin2,mcd_tuhh_night_09_108,fast_cov_half_threads
loam_livox,hdl_400_open_ct_lio_120,default
loam_livox,kitti_raw_0009_200,fast
loam_livox,kitti_raw_0009_full,fast
loam_livox,kitti_raw_0061_200,fast
loam_livox,kitti_raw_0061_full,fast
loam_livox,mcd_kth_day_06_108,fast
loam_livox,mcd_ntu_day_02_108,fast
loam_livox,mcd_tuhh_night_09_108,fast
mulls,hdl_400_open_ct_lio_120,fast
mulls,kitti_raw_0009_200,fast
mulls,kitti_raw_0009_full,fast
mulls,kitti_raw_0061_200,fast
mulls,kitti_raw_0061_full,fast
mulls,mcd_kth_day_06_108,fast
mulls,mcd_ntu_day_02_108,kitti_default
mulls,mcd_tuhh_night_09_108,fast
ndt,autoware_istanbul_open_108,fast_coarse_map
ndt,autoware_istanbul_open_108_b,fast_coarse_map
ndt,autoware_istanbul_open_108_c,fast_coarse_map
ndt,hdl_400_open_ct_lio_120,fast_coarse_map
ndt,hdl_400_open_ct_lio_120_b,fast_coarse_map
ndt,kitti_raw_0009_200,fast_coarse_map
ndt,kitti_raw_0009_full,fast_coarse_map
ndt,kitti_raw_0061_200,fast_coarse_map
ndt,kitti_raw_0061_full,fast_coarse_map
ndt,mcd_kth_day_06_108,fast_coarse_map
ndt,mcd_ntu_day_02_108,balanced_local_map
ndt,mcd_tuhh_night_09_108,fast_coarse_map
point_lio,hdl_400_open_ct_lio_120,fast
point_lio,kitti_raw_0009_200,fast
point_lio,kitti_raw_0009_full,fast
point_lio,kitti_raw_0061_200,fast
point_lio,kitti_raw_0061_full,fast
point_lio,mcd_kth_day_06_108,fast
point_lio,mcd_ntu_day_02_108,fast
point_lio,mcd_tuhh_night_09_108,fast
small_gicp,hdl_400_open_ct_lio_120,fast_recent_map
small_gicp,kitti_raw_0009_200,balanced_local_map
small_gicp,kitti_raw_0009_full,fast_recent_map
small_gicp,kitti_raw_0061_200,fast_recent_map
small_gicp,kitti_raw_0061_full,fast_recent_map
small_gicp,mcd_kth_day_06_108,fast_recent_map
small_gicp,mcd_ntu_day_02_108,dense_recent_map
small_gicp,mcd_tuhh_night_09_108,fast_recent_map
suma,hdl_400_open_ct_lio_120,default
suma,kitti_raw_0009_200,default
suma,kitti_raw_0009_full,dense
suma,kitti_raw_0061_200,dense
suma,kitti_raw_0061_full,fast
suma,mcd_kth_day_06_108,fast
suma,mcd_ntu_day_02_108,dense
suma,mcd_tuhh_night_09_108,default
vgicp_slam,hdl_400_open_ct_lio_120,fast
vgicp_slam,kitti_raw_0009_200,fast
vgicp_slam,kitti_raw_0009_full,fast
vgicp_slam,kitti_raw_0061_200,fast
vgicp_slam,kitti_raw_0061_full,fast
vgicp_slam,mcd_kth_day_06_108,fast
vgicp_slam,mcd_ntu_day_02_108,fast
vgicp_slam,mcd_tuhh_night_09_108,fast
voxel_gicp,hdl_400_open_ct_lio_120,dense_recent_map
voxel_gicp,kitti_raw_0009_200,dense_recent_map
voxel_gicp,kitti_raw_0009_full,dense_recent_map
voxel_gicp,kitti_raw_0061_200,dense_recent_map
voxel_gicp,kitti_raw_0061_full,dense_recent_map
voxel_gicp,mcd_kth_day_06_108,dense_recent_map
voxel_gicp,mcd_ntu_day_02_108,dense_recent_map
voxel_gicp,mcd_tuhh_night_09_108,dense_recent_map
xicp,hdl_400_open_ct_lio_120,dense
xicp,kitti_raw_0009_200,fast
xicp,kitti_raw_0009_full,dense
xicp,kitti_raw_0061_200,fast
xicp,kitti_raw_0061_full,fast
xicp,mcd_kth_day_06_108,fast
xicp,mcd_ntu_day_02_108,dense
xicp,mcd_tuhh_night_09_108,dense
