variant_id,x_m,y_m,z_m,yaw_deg,method,status,success,ate_m,rpe_trans_pct,rpe_rot_deg_per_m,frames,time_ms,fps,summary_path,log_path
xp0p000_yp0p000_zp0p000_yawp0p000,0.0,0.0,0.0,0.0,NDT,ok,True,0.228466,1.133184,0.026659,108,3369.291931,32.054213,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp0p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp0p000_yp0p000_zp0p000_yawp0p000/run.log
xp0p250_yp0p000_zp0p000_yawp0p000,0.25,0.0,0.0,0.0,NDT,ok,True,0.3101,1.499233,0.02623,108,3953.773929,27.315674,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp0p250_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp0p250_yp0p000_zp0p000_yawp0p000/run.log
xp0p500_yp0p000_zp0p000_yawp0p000,0.5,0.0,0.0,0.0,NDT,ok,False,0.567396,2.252662,0.028558,108,3826.159279,28.226739,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp0p500_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp0p500_yp0p000_zp0p000_yawp0p000/run.log
xp0p750_yp0p000_zp0p000_yawp0p000,0.75,0.0,0.0,0.0,NDT,ok,False,0.788149,3.179767,0.027519,108,3493.326425,30.916092,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp0p750_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp0p750_yp0p000_zp0p000_yawp0p000/run.log
xp1p000_yp0p000_zp0p000_yawp0p000,1.0,0.0,0.0,0.0,NDT,ok,False,1.052378,4.44536,0.034537,108,3859.874578,27.980184,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp1p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_08_108_x_fine/xp1p000_yp0p000_zp0p000_yawp0p000/run.log
