variant_id,x_m,y_m,z_m,yaw_deg,method,status,success,ate_m,rpe_trans_pct,rpe_rot_deg_per_m,frames,time_ms,fps,summary_path,log_path
xp0p000_yp0p000_zp0p000_yawp0p000,0.0,0.0,0.0,0.0,NDT,ok,True,0.065936,0.356234,0.004539,108,7667.862395,14.08476,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp0p000/run.log
xp0p000_yp0p000_zp0p000_yawp5p000,0.0,0.0,0.0,5.0,NDT,ok,True,0.047459,8.579121,0.005823,108,6370.825041,16.952278,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp5p000/run.log
xp0p000_yp0p000_zp0p000_yawp10p000,0.0,0.0,0.0,10.0,NDT,ok,True,0.035833,17.093235,0.007575,108,6176.340822,17.486082,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp10p000/run.log
xp1p000_yp0p000_zp0p000_yawp0p000,1.0,0.0,0.0,0.0,NDT,ok,False,0.998189,0.400198,0.003316,108,7348.066032,14.697745,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp0p000/run.log
xp1p000_yp0p000_zp0p000_yawp5p000,1.0,0.0,0.0,5.0,NDT,ok,False,0.996656,8.578664,0.005335,108,6155.458571,17.545403,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp5p000/run.log
xp1p000_yp0p000_zp0p000_yawp10p000,1.0,0.0,0.0,10.0,NDT,ok,False,1.002163,17.190407,0.008153,108,6391.491612,16.897464,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp10p000/run.log
xp2p000_yp0p000_zp0p000_yawp0p000,2.0,0.0,0.0,0.0,NDT,ok,False,1.993377,0.35034,0.00314,108,7008.401547,15.410076,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp0p000/run.log
xp2p000_yp0p000_zp0p000_yawp5p000,2.0,0.0,0.0,5.0,NDT,ok,False,1.992921,8.615692,0.005539,108,6280.44041,17.196246,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp5p000/run.log
xp2p000_yp0p000_zp0p000_yawp10p000,2.0,0.0,0.0,10.0,NDT,ok,False,1.99034,17.144975,0.009003,108,6366.756217,16.963112,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp10p000/run.log
