variant_id,x_m,y_m,z_m,yaw_deg,method,status,success,ate_m,rpe_trans_pct,rpe_rot_deg_per_m,frames,time_ms,fps,summary_path,log_path
xp0p000_yp0p000_zp0p000_yawp0p000,0.0,0.0,0.0,0.0,NDT,ok,True,0.065936,0.356234,0.004539,108,7241.752633,14.913517,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp0p000/run.log
xp0p000_yp0p000_zp0p000_yawp2p000,0.0,0.0,0.0,2.0,NDT,ok,True,0.057161,3.396677,0.003301,108,7189.652793,15.021588,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp2p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp2p000/run.log
xp0p000_yp0p000_zp0p000_yawp5p000,0.0,0.0,0.0,5.0,NDT,ok,True,0.047459,8.579121,0.005823,108,6209.116943,17.393778,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp5p000/run.log
xp0p000_yp0p000_zp0p000_yawp10p000,0.0,0.0,0.0,10.0,NDT,ok,True,0.035833,17.093235,0.007575,108,6093.835659,17.722828,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp10p000/run.log
xp0p000_yp0p000_zp0p000_yawp15p000,0.0,0.0,0.0,15.0,NDT,ok,True,0.049844,25.637347,0.011201,108,6413.24995,16.840136,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp15p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp15p000/run.log
xp0p000_yp0p000_zp0p000_yawp20p000,0.0,0.0,0.0,20.0,NDT,ok,True,0.041469,34.098057,0.013026,108,5780.450581,18.683665,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp20p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_05_108_yaw_fine/xp0p000_yp0p000_zp0p000_yawp20p000/run.log
