variant_id,x_m,y_m,z_m,yaw_deg,method,status,success,ate_m,rpe_trans_pct,rpe_rot_deg_per_m,frames,time_ms,fps,summary_path,log_path
xp0p000_yp0p000_zp0p000_yawp0p000,0.0,0.0,0.0,0.0,NDT,ok,True,0.052461,0.199229,0.001647,108,7143.381305,15.118891,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp0p000/run.log
xp0p000_yp0p000_zp0p000_yawp5p000,0.0,0.0,0.0,5.0,NDT,ok,True,0.042679,6.755589,0.007688,108,6701.07543,16.116816,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp5p000/run.log
xp0p000_yp0p000_zp0p000_yawp10p000,0.0,0.0,0.0,10.0,NDT,ok,True,0.044673,13.53652,0.011696,108,5834.23079,18.511438,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp0p000_yp0p000_zp0p000_yawp10p000/run.log
xp1p000_yp0p000_zp0p000_yawp0p000,1.0,0.0,0.0,0.0,NDT,ok,False,0.993109,1.606659,0.003327,108,6733.627753,16.038903,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp0p000/run.log
xp1p000_yp0p000_zp0p000_yawp5p000,1.0,0.0,0.0,5.0,NDT,ok,False,0.997612,8.335738,0.008921,108,6552.089227,16.483292,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp5p000/run.log
xp1p000_yp0p000_zp0p000_yawp10p000,1.0,0.0,0.0,10.0,NDT,ok,False,0.999241,14.587815,0.015694,108,5953.162441,18.141618,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp1p000_yp0p000_zp0p000_yawp10p000/run.log
xp2p000_yp0p000_zp0p000_yawp0p000,2.0,0.0,0.0,0.0,NDT,ok,False,1.992088,3.065318,0.003746,108,6751.373212,15.996746,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp0p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp0p000/run.log
xp2p000_yp0p000_zp0p000_yawp5p000,2.0,0.0,0.0,5.0,NDT,ok,False,1.989916,9.066956,0.00967,108,6594.975015,16.376104,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp5p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp5p000/run.log
xp2p000_yp0p000_zp0p000_yawp10p000,2.0,0.0,0.0,10.0,NDT,ok,False,1.99132,15.954646,0.013126,108,6556.14763,16.473088,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp10p000/summary.json,experiments/results/convergence_basin/ndt_t1_kitti_seq_02_108_x012_yaw0510/xp2p000_yp0p000_zp0p000_yawp10p000/run.log
